  	          	          	                    	   	Si   	    	Na  	    	Mg   	    	Al  	    	P   	    	K    	    	Ca   	    	Fe  	    	Cl   	    	SiO2 	    	Ag     	    	Cu	    	Mn 	    	S    	    	Zn 	    	
Nr	Ident     	Seq       	Time                	Pos	C    	Unit	C   	Unit	C    	Unit	C   	Unit	C   	Unit	C    	Unit	C    	Unit	C   	Unit	C    	Unit	C    	Unit	C      	Unit	C 	Unit	C  	Unit	C    	Unit	C  	Unit	
69	A11_R     	1 of 1    	13-Jan-2024 14:36:24	9  	0.459	%   	604 	ppm 	1657 	ppm 	296 	ppm 	2305	ppm 	11039	ppm 	2226 	ppm 	267 	ppm 	6143 	ppm 	0.98 	%   	343.339	cps 	7 	ppm 	81 	ppm 	2585 	ppm 	137	ppm 	
70	A24_R     	1 of 1    	13-Jan-2024 14:43:15	10 	0.278	%   	44  	ppm 	1716 	ppm 	217 	ppm 	1953	ppm 	4150 	ppm 	1201 	ppm 	192 	ppm 	3399 	ppm 	0.60 	%   	254.494	cps 	5 	ppm 	39 	ppm 	925  	ppm 	93 	ppm 	
71	A22_L     	1 of 1    	13-Jan-2024 15:23:07	1  	0.224	%   	2812	ppm 	1173 	ppm 	91  	ppm 	2061	ppm 	16047	ppm 	9822 	ppm 	119 	ppm 	21729	ppm 	0.48 	%   	404.294	cps 	6 	ppm 	55 	ppm 	1941 	ppm 	60 	ppm 	
72	A15_L     	1 of 1    	13-Jan-2024 15:29:33	2  	0.282	%   	2238	ppm 	1285 	ppm 	-65 	ppm 	2088	ppm 	29728	ppm 	11181	ppm 	98  	ppm 	17367	ppm 	0.60 	%   	337.380	cps 	5 	ppm 	93 	ppm 	3211 	ppm 	104	ppm 	
73	A21_L     	1 of 1    	13-Jan-2024 15:36:24	3  	0.165	%   	2577	ppm 	1181 	ppm 	9   	ppm 	1941	ppm 	21774	ppm 	12798	ppm 	78  	ppm 	19753	ppm 	0.35 	%   	340.655	cps 	5 	ppm 	52 	ppm 	2265 	ppm 	51 	ppm 	
74	A17_L     	1 of 1    	13-Jan-2024 15:45:49	4  	0.512	%   	291 	ppm 	1694 	ppm 	464 	ppm 	2342	ppm 	9721 	ppm 	1925 	ppm 	263 	ppm 	2951 	ppm 	1.10 	%   	479.201	cps 	6 	ppm 	103	ppm 	1802 	ppm 	91 	ppm 	
75	A17_LEAVES	1 of 1    	13-Jan-2024 15:52:15	5  	0.300	%   	1689	ppm 	1540 	ppm 	-103	ppm 	2019	ppm 	31377	ppm 	9468 	ppm 	75  	ppm 	12919	ppm 	0.64 	%   	382.959	cps 	6 	ppm 	108	ppm 	3370 	ppm 	117	ppm 	
76	A20_R     	1 of 1    	13-Jan-2024 15:59:07	6  	0.858	%   	286 	ppm 	1680 	ppm 	537 	ppm 	2770	ppm 	10813	ppm 	2157 	ppm 	433 	ppm 	4045 	ppm 	1.84 	%   	319.955	cps 	6 	ppm 	164	ppm 	2235 	ppm 	131	ppm 	
77	A3_R      	1 of 1    	13-Jan-2024 16:05:57	7  	0.267	%   	2256	ppm 	1097 	ppm 	43  	ppm 	4169	ppm 	21125	ppm 	2332 	ppm 	61  	ppm 	17016	ppm 	0.57 	%   	406.856	cps 	7 	ppm 	236	ppm 	3433 	ppm 	159	ppm 	
78	A15_R     	1 of 1    	13-Jan-2024 16:12:48	8  	3.050	%   	632 	ppm 	1457 	ppm 	627 	ppm 	1284	ppm 	7416 	ppm 	3647 	ppm 	1058	ppm 	9203 	ppm 	6.52 	%   	352.017	cps 	8 	ppm 	130	ppm 	3165 	ppm 	292	ppm 	
