Sample Name,Time of sampling (after hrs) ,Plant,Test Name (PPM),RT,Area,BF,1st Day,3rd day,5th day,7th day 
B2.13,1,,CO2,4.197,9230.5663,1048.9346,2.1528,1062.6444,1619.0092,1642.7164
B2.13,1,,N2O,5.122,109.3453,0.2369,,0.5316,0.1786,0.3205
B2.16,1,,CH4,2.797,16.9393,1.7194,1.7152,1.9762,1.6555,1.7402
B2.16,1,,CO2,4.197,8516.2409,966.9408,1.8699,1155.6449,1444.1242,1587.2071
B2.16,1,,N2O,5.122,105.7218,0.2267,,0.6606,0.2819,0.268
B2.17,1,,CH4,2.798,16.9609,1.7219,2.0685,2.0738,1.9585,1.7951
B2.17,1,,CO2,4.198,10085.6404,1147.0842,1.7258,1100.2432,1753.9077,1234.893
B2.17,1,,N2O,5.124,111.3965,0.2426,,0.9699,0.3776,0.2613
B2.18,1,,CH4,2.797,20.6194,2.1487,1.8313,2.2786,2.0751,1.7434
B2.18,1,,CO2,4.197,13497.1427,1538.6731,2.0905,1206.7274,1477.0318,1436.0854
B2.18,1,,N2O,5.123,124.9506,0.2805,,1.7512,0.3839,0.2649
B2.21,1,,CH4,2.797,16.4169,1.6584,1.7624,2.0793,1.5628,1.9373
B2.21,1,,CO2,4.197,12736.407,1451.3521,2.1647,1439.4636,2681.0318,2534.048
B2.21,1,,N2O,5.122,114.5823,0.2515,,0.2931,0.2654,0.3512
B2.22,1,,CH4,2.795,18.7365,1.9291,2.1008,2.0352,1.5532,1.8932
B2.22,1,,CO2,4.194,25261.6825,2889.0644,2.0144,1637.3344,2014.8051,2629.3148
B2.22,1,,N2O,5.123,123.3667,0.2761,,0.2861,0.2459,0.2914
B2.23,1,,CH4,2.794,19.4713,2.0148,1.7382,1.733,1.6923,2.263
B2.23,1,,CO2,4.194,16605.7169,1895.4904,1.5256,1388.9441,1513.4684,2483.8849
B2.23,1,,N2O,5.121,123.0408,0.2752,,0.2602,0.2483,0.2872
B3.1,2,,CH4,2.789,16.2208,1.6356,,2.2505,2.057,2.1987
B3.1,2,,CO2,4.191,33383.7627,3821.3564,,1903.4753,2462.7866,2364.9852
